"SD_test_body_acc_x" "SD_test_body_acc_y" "SD_test_body_acc_z" "SD_test_body_gyro_x" "SD_test_body_gyro_y" "SD_test_body_gyro_z" "SD_test_total_acc_x" "SD_test_total_acc_y" "SD_test_total_acc_z" "SD_train_body_acc_x" "SD_train_body_acc_y" "SD_train_body_acc_z" "SD_train_body_gyro_x" "SD_train_body_gyro_y" "SD_train_body_gyro_z" "SD_train_total_acc_x" "SD_train_total_acc_y" "SD_train_total_acc_z"
"V1" 0.179974652290953 0.122536481421725 0.0967069949481864 0.411937501867216 0.338274172956836 0.249660979766336 0.401725583542953 0.410386609483166 0.306837986072207 0.198317098325588 0.125659992618754 0.111203707005483 0.418436689679522 0.374442228212661 0.25878591275824 0.414103420281175 0.390979738565351 0.356995593811501
"V2" 0.180451416645089 0.122353425499263 0.0962032666074173 0.41340293193576 0.342479205413914 0.251507311437434 0.401591215802954 0.40991060028552 0.307083284840739 0.197407136047971 0.125686441403089 0.112123819465742 0.418014459303499 0.378747663089956 0.260245847961973 0.41373064642099 0.391573298616806 0.357887072597365
"V3" 0.181603393903945 0.119396753688113 0.0966947899042948 0.414143769297499 0.334941750550171 0.252485272562906 0.401685424183586 0.40909913239057 0.307218091631062 0.197975817827064 0.125726288863593 0.112142174660058 0.416851279303232 0.383092120423817 0.259674148155653 0.41438983124218 0.392132553199692 0.358156911359004
"V4" 0.180157388840158 0.119902871178287 0.0968391351996446 0.415947617160072 0.326874140088115 0.251017019352321 0.401334192215653 0.410417247488144 0.307045703173231 0.196810944401698 0.126422236220452 0.111592932470837 0.416493826356458 0.386220690423292 0.257387064041122 0.414365829723896 0.392026452721774 0.357741396053032
"V5" 0.18023005994199 0.124802552825864 0.0979360652924924 0.422883958453722 0.335421950036776 0.246435657004849 0.401744350081093 0.412117414335675 0.307294782928941 0.195771345579448 0.127270582355891 0.111411290395699 0.415895791855294 0.382920633106061 0.25708521314373 0.414288297935796 0.391668666083929 0.357404120508553
"V6" 0.180537879520428 0.124148944435809 0.0978555248588891 0.423362411010504 0.340156835146257 0.249026089162091 0.40240125710541 0.411263484407655 0.305414846542143 0.196651743836038 0.127566528523847 0.11234087132779 0.413806845091507 0.377074806940558 0.25917866285168 0.414916981348489 0.391771868431839 0.35788522641177
"V7" 0.181573060851418 0.122678382324429 0.0961793205820861 0.413821686113032 0.34531048274111 0.249851874240564 0.402953281150532 0.41057077413957 0.303876607681773 0.19538103305713 0.126687119050032 0.111658624342578 0.410787784446127 0.378151074736462 0.258788143865153 0.414224682788763 0.391398922834456 0.357659956794085
"V8" 0.181461117060573 0.124936021552563 0.0951297234357996 0.406004892240145 0.34486812129965 0.247486528832998 0.4029827617638 0.411506080072746 0.304241928908107 0.194239374515806 0.125946700114404 0.111788076715342 0.412781230451547 0.38015468028104 0.261274453451789 0.413467270532661 0.391680777804529 0.357150873476547
"V9" 0.183277952129613 0.124204478430176 0.0951393826580708 0.406990590889884 0.334384129135952 0.242038332421325 0.404705549846773 0.411041024512131 0.304443198092284 0.193353984669903 0.125358826576176 0.113860828843811 0.414129993418106 0.373642901179527 0.262386069633065 0.413144301804228 0.392546315368743 0.357685950440918
"V10" 0.185731556466005 0.121816392692875 0.0972060234028254 0.409449512290385 0.333218639221347 0.240249407509237 0.406312326820652 0.409591317764337 0.305688558027259 0.196055399280469 0.125421523983842 0.116482740734514 0.415347148894251 0.374451014688524 0.262408909486913 0.414630625211045 0.393256788183328 0.358527194283088
"V11" 0.184781166960409 0.120164313618976 0.0985134712137793 0.408930100389547 0.341716131111636 0.24709505937501 0.406276480209633 0.40899191484399 0.306572296741713 0.198017157607611 0.127188322800882 0.115025332185026 0.419384235936332 0.377856972144158 0.261277910547325 0.415781219261464 0.394228705599244 0.357498743221862
"V12" 0.184925416487862 0.119317395946158 0.0978871691854373 0.411117998388458 0.340899660045645 0.25007747873048 0.407352648568977 0.408784313217124 0.306006425753007 0.199713237619949 0.127304818717817 0.112608048730198 0.420337452326504 0.380952901761034 0.260751908591894 0.416897141503561 0.394178055062611 0.356142647782498
"V13" 0.190005824478515 0.117500973125819 0.0980405217232355 0.411821585545714 0.340475250113226 0.247067056252636 0.410886613278106 0.409017664710845 0.306070749412168 0.200965705808089 0.125700435988705 0.112668107955769 0.423136434248548 0.38040781606282 0.260900216135051 0.417627408817022 0.393593772059219 0.355728393698309
"V14" 0.194446698923732 0.1203468922982 0.0976963993393182 0.408322805840399 0.343072281457809 0.248477432017245 0.413576887845867 0.411475455399171 0.306208814908543 0.199548343669604 0.124534118845877 0.112350834447136 0.421323933375038 0.376988369179499 0.260422400272344 0.416828898021732 0.393389982628088 0.35562089217639
"V15" 0.189209631013761 0.122567299281851 0.0974872301690005 0.405064390982775 0.33769295175823 0.252936036019072 0.410218792340372 0.41244486893125 0.305936710589741 0.197509121394793 0.123496465355145 0.111417792637297 0.41846956876727 0.370954823009257 0.256176678085781 0.415633005388903 0.392758829266545 0.356227247410827
"V16" 0.182783605768308 0.124002908225813 0.0968075757754435 0.401501137960642 0.337754923935888 0.255785774861258 0.406113373023426 0.412614306653662 0.3053515424075 0.195450228782134 0.125426077108973 0.111800978520623 0.418254296987008 0.376491530211942 0.257934632623523 0.414341737570661 0.392716432469947 0.357053810902165
"V17" 0.182713852867848 0.125505771497129 0.0971092808757114 0.396203018860277 0.345041804645036 0.256135896039581 0.405715053896679 0.4131280015585 0.305771598113178 0.194258359885813 0.125437765946819 0.110283018859688 0.422419717426941 0.378079371876739 0.259675546428263 0.412942513639891 0.392239254015333 0.356540477818154
"V18" 0.183595253830364 0.123445783972977 0.0962343993554357 0.395455775951767 0.337378735645783 0.251728945091262 0.405883040964045 0.412208072730761 0.306148121487379 0.191568619573185 0.124019032353012 0.111310901113517 0.424865864618432 0.391169495637909 0.258720969834651 0.410837885160001 0.391750393342144 0.35680094935101
"V19" 0.181493715517786 0.122229199479807 0.0980872866365163 0.39971158519377 0.334475672897778 0.246658547321881 0.404971682377003 0.41203775247391 0.30752915423465 0.190250463046185 0.122789985545914 0.111462009218499 0.426619706895882 0.391300088005421 0.256939556933588 0.410026390476663 0.39142595082276 0.356655752626974
"V20" 0.178126106643343 0.124854669553867 0.102055355083759 0.404323964081451 0.339824840350959 0.246468325449829 0.403759726918791 0.41313605494218 0.309637756306634 0.192141139224201 0.121993956853582 0.110503416075874 0.420984292477098 0.38422464639928 0.253582074558149 0.410770681572837 0.390996372467225 0.35610036675079
"V21" 0.179794850190414 0.122734001233701 0.102116825714897 0.405312340593148 0.356424481226792 0.247213927061016 0.404708199198941 0.41243533826903 0.309438002391594 0.19319522390494 0.12218230740044 0.111083476920117 0.418227519383048 0.385083831858053 0.253740681089673 0.411534503358055 0.391207908691112 0.356223430376811
"V22" 0.181831139046605 0.122556127500971 0.100361055612309 0.409545058268537 0.349556407719645 0.247405975642101 0.405485794029381 0.412692657066355 0.30866420100837 0.192409466117284 0.122945213594018 0.109571287470408 0.417113339616903 0.387644132399764 0.257032393739776 0.411508445545328 0.391657242229607 0.356072790981026
