"average_test_body_acc_x" "average_test_body_acc_y" "average_test_body_acc_z" "average_test_body_gyro_x" "average_test_body_gyro_y" "average_test_body_gyro_z" "average_test_total_acc_x" "average_test_total_acc_y" "average_test_total_acc_z" "average_train_body_acc_x" "average_train_body_acc_y" "average_train_body_acc_z" "average_train_body_gyro_x" "average_train_body_gyro_y" "average_train_body_gyro_z" "average_train_total_acc_x" "average_train_total_acc_y" "average_train_total_acc_z" "SD_test_body_acc_x" "SD_test_body_acc_y" "SD_test_body_acc_z" "SD_test_body_gyro_x" "SD_test_body_gyro_y" "SD_test_body_gyro_z" "SD_test_total_acc_x" "SD_test_total_acc_y" "SD_test_total_acc_z" "SD_train_body_acc_x" "SD_train_body_acc_y" "SD_train_body_acc_z" "SD_train_body_gyro_x" "SD_train_body_gyro_y" "SD_train_body_gyro_z" "SD_train_total_acc_x" "SD_train_total_acc_y" "SD_train_total_acc_z"
"V1" -0.00601046826850713 0.0020689899256644 -3.46176477293519e-05 -0.0221737890971021 0.00576343856499152 0.00629869002425042 0.814318308587499 0.0058897033541907 0.0795696525993892 -0.00337378188457303 -0.000437005168585283 0.00485563270667927 -0.000706586065120919 0.00905526455558909 0.00316249104713853 0.804023694788126 0.0276203238579162 0.0904375722416227 0.179974652290953 0.122536481421725 0.0967069949481864 0.411937501867216 0.338274172956836 0.249660979766336 0.401725583542953 0.410386609483166 0.306837986072207 0.198317098325588 0.125659992618754 0.111203707005483 0.418436689679522 0.374442228212661 0.25878591275824 0.414103420281175 0.390979738565351 0.356995593811501
"V2" -0.00613505487654978 0.00316043964767017 -0.000333927044128707 -0.0226377558849352 0.010357821342247 0.00773916201506427 0.814134082372582 0.00701478944129623 0.0793135040068578 -0.00285823994547647 -0.00127207161482277 0.00450049781190714 0.00178668118343036 0.0099747179680812 0.00205461599907372 0.804490440379475 0.0268350476546695 0.0901122407045158 0.180451416645089 0.122353425499263 0.0962032666074173 0.41340293193576 0.342479205413914 0.251507311437434 0.401591215802954 0.40991060028552 0.307083284840739 0.197407136047971 0.125686441403089 0.112123819465742 0.418014459303499 0.378747663089956 0.260245847961973 0.41373064642099 0.391573298616806 0.357887072597365
"V3" -0.0065572347000338 0.00361058735913811 -3.06457698299966e-05 -0.0245374237267316 0.0148338937195965 0.00978517537183916 0.813653186036488 0.00749929979750933 0.0796584712084662 -0.00170782872634249 -0.00195508657017231 0.00467767261989731 0.00130058327001968 0.00939862491670566 0.00155585773628224 0.805591654569532 0.02620287751034 0.0903198508057671 0.181603393903945 0.119396753688113 0.0966947899042948 0.414143769297499 0.334941750550171 0.252485272562906 0.401685424183586 0.40909913239057 0.307218091631062 0.197975817827064 0.125726288863593 0.112142174660058 0.416851279303232 0.383092120423817 0.259674148155653 0.41438983124218 0.392132553199692 0.358156911359004
"V4" -0.00597120579687479 0.00189710278421921 5.11450541907024e-05 -0.0254045340956871 0.0145458589074109 0.0100770022490994 0.814181179956396 0.00582091194662369 0.0797804587797523 -0.000535542574984385 -0.00133616819318784 0.00489269038132467 0.000234872624011154 0.00763163918321328 0.00187520086526211 0.806714380021708 0.026873406043648 0.0905660477634045 0.180157388840158 0.119902871178287 0.0968391351996446 0.415947617160072 0.326874140088115 0.251017019352321 0.401334192215653 0.410417247488144 0.307045703173231 0.196810944401698 0.126422236220452 0.111592932470837 0.416493826356458 0.386220690423292 0.257387064041122 0.414365829723896 0.392026452721774 0.357741396053032
"V5" -0.00560954363576111 0.000646168674160163 0.000614874817672209 -0.0219099116948022 0.0154230251872786 0.00733951574761147 0.814485296452737 0.00460579139770954 0.0803828960611734 0.000333323871092478 -0.000396693448755713 0.0047023994625228 -0.000961122410326292 0.00599673756471491 0.00319543534774415 0.807533441454978 0.0278649842411045 0.0904077853592574 0.18023005994199 0.124802552825864 0.0979360652924924 0.422883958453722 0.335421950036776 0.246435657004849 0.401744350081093 0.412117414335675 0.307294782928941 0.195771345579448 0.127270582355891 0.111411290395699 0.415895791855294 0.382920633106061 0.25708521314373 0.414288297935796 0.391668666083929 0.357404120508553
"V6" -0.0055938109881096 0.00124955700907703 0.00288259061392806 -0.0194031084804852 0.0156977406687173 0.00304813773410417 0.814443790625416 0.00524564023635562 0.0826878640431919 0.000479640037199551 -0.000274358396269995 0.00469863136943747 -0.0023417862197492 0.00387991718668893 0.00551469206479461 0.807629838383501 0.0280396903573694 0.0904369919441077 0.180537879520428 0.124148944435809 0.0978555248588891 0.423362411010504 0.340156835146257 0.249026089162091 0.40240125710541 0.411263484407655 0.305414846542143 0.196651743836038 0.127566528523847 0.11234087132779 0.413806845091507 0.377074806940558 0.25917866285168 0.414916981348489 0.391771868431839 0.35788522641177
"V7" -0.00597534169533254 0.0023384563819681 0.00342128869185952 -0.0194626130018833 0.012229195417601 0.0016940419974452 0.814005163079505 0.00637156418130302 0.0832624542161429 -0.000289295789591117 -0.000234120272426686 0.00491126286683243 -0.00261892917617927 0.00108441782015384 0.00610178876282081 0.806811029582644 0.0281323812637461 0.0906836290548953 0.181573060851418 0.122678382324429 0.0961793205820861 0.413821686113032 0.34531048274111 0.249851874240564 0.402953281150532 0.41057077413957 0.303876607681773 0.19538103305713 0.126687119050032 0.111658624342578 0.410787784446127 0.378151074736462 0.258788143865153 0.414224682788763 0.391398922834456 0.357659956794085
"V8" -0.00533107681412657 0.00240121960661113 0.0020272017873339 -0.0199202175942243 0.00848288939985748 0.00516700823450628 0.814592330094455 0.00647186202697998 0.0819030339174415 -0.00100217844949116 -0.000886272645682331 0.00514129976215982 -0.00271917305572401 -0.000307132841817329 0.00558183457903623 0.806048448355767 0.027532594175068 0.0909487864015057 0.181461117060573 0.124936021552563 0.0951297234357996 0.406004892240145 0.34486812129965 0.247486528832998 0.4029827617638 0.411506080072746 0.304241928908107 0.194239374515806 0.125946700114404 0.111788076715342 0.412781230451547 0.38015468028104 0.261274453451789 0.413467270532661 0.391680777804529 0.357150873476547
"V9" -0.00302724950317781 0.00247369081997353 0.0014380322572511 -0.0186690284488398 0.00619344169946115 0.00791190724613336 0.816838926080319 0.00658235643402443 0.0813474405462844 -0.000909127413418798 -0.00182205519912731 0.00490274979738354 -0.00220864451752161 -5.22493552611515e-07 0.005747920031739 0.806092070704336 0.0266489187418648 0.0907465496833025 0.183277952129613 0.124204478430176 0.0951393826580708 0.406990590889884 0.334384129135952 0.242038332421325 0.404705549846773 0.411041024512131 0.304443198092284 0.193353984669903 0.125358826576176 0.113860828843811 0.414129993418106 0.373642901179527 0.262386069633065 0.413144301804228 0.392546315368743 0.357685950440918
"V10" -0.00188704463796573 0.00330760849657855 0.0014576004544961 -0.0159948118486288 0.00948831175926264 0.0075093075889318 0.817921736304751 0.00745477369583305 0.0813995734667153 -0.000573529233130849 -0.00289442862769029 0.00436740496633014 -0.000491040296044519 0.00130747177554516 0.00520085375561643 0.806378593240188 0.0256281979732821 0.0902487790891091 0.185731556466005 0.121816392692875 0.0972060234028254 0.409449512290385 0.333218639221347 0.240249407509237 0.406312326820652 0.409591317764337 0.305688558027259 0.196055399280469 0.125421523983842 0.116482740734514 0.415347148894251 0.374451014688524 0.262408909486913 0.414630625211045 0.393256788183328 0.358527194283088
